player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
1921642,Mao Ichiyama,F,Japan,JPN,2024,Summer,Paris,Athletics,Women's Marathon,No medal
1921673,Tulga Tumur,M,Mongolia,MGL,2024,Summer,Paris,Wrestling,Men's Freestyle 65kg,No medal
1921738,Alessia Orro,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921740,Carlotta Cambi,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921742,Ogechi Egonu,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921743,Ekaterina Antropova,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921746,Fatime Sylla,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921747,Chiara Bosetti,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921749,Loveth Omoruyi,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921751,Anna Danesi,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921752,Luisa Fahr,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921753,Marina Lubian,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921757,de Monica,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921761,Ilaria Spirito,F,Italy,ITA,2024,Summer,Paris,Volleyball,Women,Gold
1921764,Kazuki Takahashi,M,Japan,JPN,2024,Summer,Paris,Athletics,Marathon Race Walk Relay Mixed,No medal
1921770,Yuka Takashima,F,Japan,JPN,2024,Summer,Paris,Athletics,"Women's 10,000m",No medal
1921771,Shunya Takayama,M,Japan,JPN,2024,Summer,Paris,Athletics,Men's 110m Hurdles,No medal
1921781,Yumi Tanaka,F,Japan,JPN,2024,Summer,Paris,Athletics,Women's 100m Hurdles,No medal
1921782,Nozomi Tanaka,F,Japan,JPN,2024,Summer,Paris,Athletics,Women's 1500m,No medal
1921782,Nozomi Tanaka,F,Japan,JPN,2024,Summer,Paris,Athletics,Women's 5000m,No medal
1921797,Ken Toyoda,M,Japan,JPN,2024,Summer,Paris,Athletics,Men's 400m Hurdles,No medal
1921812,Momone Ueda,F,Japan,JPN,2024,Summer,Paris,Athletics,Women's Javelin Throw,No medal
1921818,Koki Ueyama,M,Japan,JPN,2024,Summer,Paris,Athletics,Men's 200m,No medal
1921818,Koki Ueyama,M,Japan,JPN,2024,Summer,Paris,Athletics,Men's 4 x 100m Relay,No medal
1921833,Towa Uzawa,M,Japan,JPN,2024,Summer,Paris,Athletics,Men's 200m,No medal
1921865,Yuma Yamamoto,F,Japan,JPN,2024,Summer,Paris,Athletics,Women's 5000m,No medal
1921878,Hiroki Yanagita,M,Japan,JPN,2024,Summer,Paris,Athletics,Men's 4 x 100m Relay,No medal
1921879,Ayane Yanai,F,Japan,JPN,2024,Summer,Paris,Athletics,Marathon Race Walk Relay Mixed,No medal
1921891,Takuho Yoshizu,M,Japan,JPN,2024,Summer,Paris,Athletics,Men's 4 x 400m Relay,No medal
1921929,Luca Porro,M,Italy,ITA,2024,Summer,Paris,Volleyball,Men,No medal
